Date,Open,High,Low,Close,Adj Close,Volume
2023-01-16,10.35,10.45,10.3,10.3,10.3,320744
2023-01-17,10.4,10.45,10.3,10.45,10.45,419821
2023-01-30,10.6,11.1,10.45,11.0,11.0,2276333
2023-01-31,10.95,11.1,10.8,11.0,11.0,1282969
2023-02-01,11.1,11.45,10.95,11.3,11.3,1656135
2023-02-02,11.4,11.4,11.0,11.1,11.1,1254409
2023-02-03,11.1,11.15,10.9,11.1,11.1,762270
2023-02-06,11.15,11.2,10.95,11.0,11.0,660690
2023-02-07,11.0,11.0,10.75,10.75,10.75,897477
2023-02-08,10.85,10.9,10.7,10.75,10.75,805324
2023-02-09,10.85,11.0,10.8,10.85,10.85,536651
2023-02-10,10.85,10.95,10.6,10.65,10.65,496017
2023-02-13,10.8,10.9,10.7,10.7,10.7,479102
2023-02-14,10.8,10.85,10.7,10.7,10.7,402346
2023-02-15,10.9,11.15,10.85,10.9,10.9,1076604
2023-02-16,10.85,11.0,10.8,10.9,10.9,473920
2023-02-17,10.9,10.9,10.75,10.8,10.8,576346
2023-02-20,10.9,10.9,10.7,10.9,10.9,956465
2023-02-21,11.0,11.0,10.8,10.85,10.85,509396
2023-02-22,10.85,10.95,10.7,10.75,10.75,649100
2023-02-23,10.85,11.0,10.75,10.75,10.75,539367
2023-02-24,10.85,10.85,10.65,10.75,10.75,897127
2023-03-01,10.75,10.75,10.7,10.7,10.7,292661
2023-03-02,10.75,10.85,10.7,10.75,10.75,450217
2023-03-03,10.85,10.9,10.8,10.85,10.85,681493
2023-03-06,10.8,11.2,10.8,11.15,11.15,1768695
2023-03-07,11.15,11.45,10.95,11.15,11.15,1465261
2023-03-08,11.1,11.15,10.95,11.0,11.0,883291
2023-03-09,11.1,11.1,10.85,10.85,10.85,663966
2023-03-10,10.75,10.8,10.65,10.65,10.65,1044876
2023-03-13,10.6,10.65,10.4,10.55,10.55,818087
2023-03-14,10.6,10.65,10.5,10.5,10.5,350194
2023-03-15,10.65,10.7,10.45,10.45,10.45,474246
2023-03-16,10.45,10.5,10.2,10.2,10.2,1027420
2023-03-17,10.3,10.45,10.2,10.35,10.35,411052
2023-03-20,10.35,10.45,10.3,10.3,10.3,305471
2023-03-21,10.3,10.55,10.2,10.45,10.45,730107
2023-03-22,10.5,10.65,10.35,10.45,10.45,753938
2023-03-23,10.5,10.5,10.35,10.4,10.4,359658
2023-03-24,10.45,10.55,10.3,10.5,10.5,846415
2023-03-27,10.5,10.55,10.4,10.5,10.5,412669
2023-03-28,10.5,10.55,10.3,10.3,10.3,359738
2023-03-29,10.4,10.5,10.3,10.35,10.35,302975
2023-03-30,10.45,10.5,10.35,10.45,10.45,328250
2023-03-31,10.5,10.5,10.25,10.4,10.4,782883
2023-04-06,10.3,10.35,10.25,10.25,10.25,402461
2023-04-07,10.3,10.35,10.25,10.3,10.3,281148
2023-04-10,10.3,10.3,10.2,10.3,10.3,355565
2023-04-11,10.3,10.3,10.2,10.25,10.25,401701
2023-04-12,10.3,10.3,10.2,10.2,10.2,729011
2023-04-13,10.25,10.3,10.15,10.2,10.2,548032
2023-04-14,10.3,10.45,10.2,10.4,10.4,809560
2023-04-17,10.3,10.4,10.25,10.35,10.35,542912
2023-04-18,10.9,10.9,10.4,10.4,10.4,911688
2023-04-19,10.5,10.55,10.25,10.35,10.35,868404
2023-04-20,10.3,10.35,10.15,10.15,10.15,900898
2023-04-21,10.15,10.25,10.1,10.15,10.15,526673
2023-04-24,10.15,10.25,10.1,10.15,10.15,261302
2023-04-25,10.15,10.2,9.99,9.99,9.99,681458
2023-04-26,10.0,10.05,9.94,10.0,10.0,419656
2023-04-27,10.0,10.1,10.0,10.1,10.1,166565
2023-04-28,10.15,10.2,10.05,10.15,10.15,201058
2023-05-02,10.15,10.15,10.0,10.1,10.1,520695
2023-05-03,10.1,10.15,10.0,10.1,10.1,301176
2023-05-04,10.1,10.1,10.0,10.05,10.05,183208
2023-05-05,10.05,10.1,10.0,10.05,10.05,269877
2023-05-08,10.2,10.2,10.0,10.05,10.05,221604
2023-05-09,10.25,10.25,9.97,9.99,9.99,439092
2023-05-10,10.05,10.1,10.0,10.0,10.0,264000
2023-05-11,10.0,10.05,9.94,9.94,9.94,468018
2023-05-12,10.0,10.0,9.91,9.94,9.94,219200
2023-05-15,9.94,9.96,9.87,9.9,9.9,451583
2023-05-16,9.9,10.0,9.9,9.93,9.93,305459
2023-05-17,9.9,9.94,9.78,9.9,9.9,827972
2023-05-18,9.99,9.99,9.81,9.82,9.82,475100
2023-05-19,9.82,9.91,9.8,9.82,9.82,353077
2023-05-22,9.82,9.88,9.8,9.83,9.83,397746
2023-05-23,9.84,10.35,9.84,10.15,10.15,1173471
2023-05-24,10.05,10.1,9.97,10.0,10.0,501300
2023-05-25,10.1,10.25,10.05,10.15,10.15,669775
2023-05-26,10.2,10.2,9.98,9.98,9.98,361208
2023-05-29,10.05,10.05,9.97,10.0,10.0,221901
2023-05-30,10.1,10.1,9.96,9.97,9.97,458284
2023-05-31,10.0,10.05,9.98,10.05,10.05,446036
2023-06-01,10.05,10.05,9.95,10.0,10.0,460069
2023-06-02,10.05,10.15,10.0,10.05,10.05,467639
2023-06-05,10.1,10.2,10.0,10.0,10.0,520324
2023-06-06,10.05,10.25,10.05,10.25,10.25,915305
2023-06-07,10.25,10.5,10.25,10.5,10.5,1184603
2023-06-08,10.5,10.5,10.1,10.25,10.25,951149
2023-06-09,10.25,10.3,10.15,10.15,10.15,362101
2023-06-12,10.2,10.2,10.0,10.0,10.0,332060
2023-06-13,10.05,10.15,10.05,10.05,10.05,364258
2023-06-14,10.0,10.15,10.0,10.1,10.1,444748
2023-06-15,10.05,10.15,10.05,10.15,10.15,454186
2023-06-16,10.1,10.15,10.05,10.1,10.1,496018
2023-06-19,10.1,10.1,10.05,10.05,10.05,403080
2023-06-20,10.1,10.1,10.0,10.1,10.1,223002
2023-06-21,10.05,10.05,9.98,10.0,10.0,746189
2023-06-26,10.05,10.05,9.98,10.05,10.05,335200
2023-06-27,10.0,10.0,9.94,9.98,9.98,472082
2023-06-28,9.98,10.0,9.97,9.97,9.97,207020
2023-06-29,9.97,10.0,9.94,9.94,9.94,239923
2023-06-30,9.9,9.93,9.89,9.9,9.9,441771
2023-07-03,9.93,9.98,9.92,9.94,9.94,344704
2023-07-04,9.96,9.98,9.89,9.89,9.89,430072
2023-07-05,9.89,9.95,9.89,9.92,9.92,286091
2023-07-06,9.95,10.9,9.94,10.9,10.9,5490905
2023-07-07,11.0,11.8,10.7,11.25,11.25,6821685
2023-07-10,11.3,11.3,10.65,10.65,10.65,2237085
2023-07-11,10.5,10.65,10.3,10.6,10.6,1381856
2023-07-12,10.7,10.75,10.2,10.4,10.4,978044
2023-07-13,10.5,10.55,10.25,10.3,10.3,840214
2023-07-14,10.55,10.95,10.5,10.6,10.6,1671219
2023-07-17,10.55,10.6,10.05,10.45,10.45,1157804
2023-07-18,10.45,11.35,10.35,10.95,10.95,2330431
2023-07-19,11.2,11.2,10.55,10.6,10.6,1185805
2023-07-20,10.9,10.9,10.45,10.6,10.6,527151
2023-07-21,10.5,10.65,10.45,10.55,10.55,570587
2023-07-24,10.7,10.95,10.55,10.7,10.7,947759
2023-07-25,10.7,10.75,10.55,10.6,10.6,638828
2023-07-26,10.8,10.8,10.5,10.55,10.55,945001
2023-07-27,10.55,10.55,10.35,10.45,10.45,748872
2023-07-28,10.5,10.5,10.4,10.4,10.4,392232
2023-07-31,10.5,10.6,10.3,10.3,10.3,520481
2023-08-01,10.45,10.45,10.3,10.35,10.35,369048
2023-08-02,10.4,10.4,10.1,10.2,10.2,657014
2023-08-04,10.2,10.4,10.15,10.25,10.25,293646
2023-08-07,10.2,10.2,10.0,10.2,10.2,387611
2023-08-08,10.2,10.2,10.05,10.05,10.05,434064
2023-08-09,10.05,10.15,10.0,10.0,10.0,401818
2023-08-10,10.05,10.05,9.94,9.96,9.96,560236
2023-08-11,9.98,10.0,9.8,9.97,9.97,757222
2023-08-14,9.92,9.95,9.63,9.65,9.65,856001
2023-08-15,9.65,9.98,9.65,9.78,9.78,360020
2023-08-16,9.65,9.65,9.59,9.61,9.61,402715
2023-08-17,9.62,9.74,9.56,9.72,9.72,348427
2023-08-18,9.75,9.82,9.65,9.65,9.65,335873
2023-08-21,9.7,9.7,9.65,9.65,9.65,132331
2023-08-22,9.65,9.66,9.56,9.6,9.6,176411
2023-08-23,9.6,9.63,9.58,9.6,9.6,171123
2023-08-24,9.61,9.76,9.58,9.6,9.6,199000
2023-08-25,9.6,9.67,9.59,9.6,9.6,265000
2023-08-28,9.61,9.62,9.57,9.6,9.6,173901
2023-08-29,9.57,9.98,9.57,9.9,9.9,334340
2023-08-30,9.94,9.94,9.8,9.89,9.89,198900
2023-08-31,9.89,9.9,9.84,9.84,9.84,180012
2023-09-01,9.84,9.98,9.79,9.97,9.97,447215
2023-09-04,9.96,10.05,9.9,9.9,9.9,233360
2023-09-05,9.81,10.0,9.81,9.88,9.88,181015
2023-09-06,9.83,9.88,9.8,9.8,9.8,180001
2023-09-07,9.8,9.8,9.68,9.7,9.7,478372
2023-09-08,9.68,9.7,9.65,9.66,9.66,246873
2023-09-11,9.62,9.7,9.6,9.6,9.6,205562
2023-09-12,9.6,9.63,9.59,9.62,9.62,183312
2023-09-13,9.63,9.7,9.56,9.59,9.59,170334
2023-09-14,9.57,9.65,9.56,9.62,9.62,265171
2023-09-15,9.66,9.66,9.6,9.62,9.62,191731
2023-09-18,9.61,9.64,9.56,9.61,9.61,165512
2023-09-19,9.61,9.61,9.5,9.57,9.57,278783
2023-09-20,9.61,9.61,9.5,9.55,9.55,430082
2023-09-21,9.58,9.58,9.38,9.42,9.42,320527
2023-09-22,9.38,9.42,9.32,9.32,9.32,455500
2023-09-25,9.35,9.35,9.27,9.3,9.3,212004
2023-09-26,9.35,9.35,9.2,9.26,9.26,345330
2023-09-27,9.26,9.26,9.16,9.2,9.2,173360
2023-09-28,9.2,9.2,9.13,9.17,9.17,238621
2023-10-02,9.18,9.18,9.09,9.14,9.14,325392
2023-10-03,9.15,9.15,9.09,9.11,9.11,154150
2023-10-04,9.11,9.58,9.0,9.54,9.54,613150
2023-10-05,9.53,9.63,9.3,9.46,9.46,448239
2023-10-06,9.35,9.46,9.3,9.44,9.44,65869
2023-10-11,9.35,9.44,9.22,9.24,9.24,317040
2023-10-12,9.25,9.45,9.24,9.42,9.42,250679
2023-10-13,9.3,9.65,9.3,9.48,9.48,198000
2023-10-16,9.4,9.4,9.16,9.3,9.3,292958
2023-10-17,9.16,9.29,9.15,9.19,9.19,139402
2023-10-18,9.19,9.28,9.15,9.2,9.2,118397
2023-10-19,9.16,9.21,9.16,9.19,9.19,183000
2023-10-20,9.19,9.2,9.1,9.13,9.13,238040
2023-10-23,9.15,9.18,9.06,9.09,9.09,185804
2023-10-24,9.09,9.14,9.08,9.1,9.1,134806
2023-10-25,9.1,9.15,9.07,9.12,9.12,405041
2023-10-26,9.1,9.1,9.01,9.05,9.05,263510
2023-10-27,8.91,9.1,8.91,9.01,9.01,125732
2023-10-30,8.96,9.02,8.92,8.98,8.98,195070
2023-10-31,8.98,9.37,8.9,9.14,9.14,587600
2023-11-01,9.11,9.18,9.02,9.13,9.13,226667
2023-11-02,9.18,9.18,9.11,9.13,9.13,267198
2023-11-03,9.15,9.19,9.11,9.19,9.19,181288
2023-11-06,9.23,9.56,9.19,9.5,9.5,588293
2023-11-07,9.64,9.8,9.5,9.6,9.6,633264
2023-11-08,9.58,9.58,9.4,9.46,9.46,329373
2023-11-09,9.46,9.5,9.36,9.37,9.37,146248
2023-11-10,9.26,9.44,9.26,9.37,9.37,165132
2023-11-13,9.38,9.41,9.31,9.34,9.34,161008
2023-11-14,8.97,9.34,8.97,9.15,9.15,370616
2023-11-15,9.4,9.4,9.14,9.2,9.2,297822
2023-11-16,8.28,8.28,8.28,8.28,8.28,1399913
2023-11-17,7.46,7.46,7.46,7.46,7.46,1096937
2023-11-20,6.72,6.72,6.72,6.72,6.72,2072489
2023-11-21,6.36,6.6,6.35,6.39,6.39,6927945
2023-11-22,6.19,6.44,6.19,6.38,6.38,2169102
2023-11-23,6.49,6.69,6.4,6.51,6.51,1607774
2023-11-24,6.5,6.59,6.5,6.58,6.58,746430
2023-11-27,6.57,6.92,6.56,6.9,6.9,790968
